key,n,row_ratio,nd_approx,dup_ratio,avg_len,med_len,max_len,multi_ratio,yes_no_ratio,numeric_ratio,url_ratio,phone_ratio,qid_ratio,upper_ratio,non_ascii_ratio,long_ratio,token_ratio,min_level,med_level
addr:place,87825,0.00292,53365,0.3924,13.1,11.0,156,0.0001,0.0,0.0036,0.0,0.0007,0.0003,0.912,0.2868,0.0147,0.0072,0,11.0
recycling:clothes,87760,0.00292,21,0.9998,2.9,3.0,19,0.0001,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,11.0
recycling:glass,86356,0.00287,5,0.9999,2.8,3.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10.0
clothes,85940,0.00286,4498,0.9477,8.9,7.0,255,0.2367,0.0073,0.0,0.0,0.0,0.0,0.0021,0.0025,0.0123,0.9931,0,13.0
contact:street,85825,0.00286,22637,0.7362,17.9,17.0,67,0.0001,0.0,0.0002,0.0,0.0,0.0,0.9991,0.2628,0.0046,0.0002,0,12.0
building,85385,0.00284,464,0.9946,5.4,6.0,65,0.0002,0.361,0.0,0.0,0.0,0.0,0.001,0.0002,0.0001,0.9987,0,9.0
addr:ward,84998,0.00283,4756,0.944,7.2,7.0,30,0.0,0.0,0.0589,0.0,0.0,0.0,0.9318,0.0005,0.0,0.0629,0,9.0
delivery,84946,0.00283,940,0.9889,3.0,3.0,125,0.0044,0.9773,0.0,0.0001,0.0,0.0,0.0111,0.0003,0.0024,0.9868,0,12.0
contact:housenumber,83085,0.00276,3115,0.9625,2.0,2.0,34,0.0008,0.0,0.9495,0.0,0.0008,0.0,0.0089,0.0007,0.0,0.9598,0,12.0
female,81900,0.00273,27,0.9997,2.9,3.0,27,0.0005,0.9956,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0,12.0
government,80925,0.00269,1322,0.9837,12.0,14.0,187,0.0007,0.0436,0.0,0.0,0.0,0.0,0.0031,0.0035,0.0006,0.9927,0,10.0
shelter,80168,0.00267,40,0.9995,2.8,3.0,16,0.0,0.9951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.0
recycling:cans,79825,0.00266,6,0.9999,2.9,3.0,10,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11.0
contact:twitter,78731,0.00262,14201,0.8196,27.2,27.0,255,0.0001,0.0,0.0,0.8502,0.0,0.0,0.4826,0.0001,0.0104,0.0819,0,11.0
historic:civilization,78106,0.0026,889,0.9886,9.8,9.0,91,0.0009,0.0001,0.0001,0.0,0.0,0.0,0.0051,0.0036,0.0002,0.9706,0,9.0
opening_hours:signed,74871,0.00249,97,0.9987,2.0,2.0,112,0.0004,0.9986,0.0,0.0,0.0,0.0,0.0013,0.0,0.0003,0.9986,0,13.0
fuel:diesel,74348,0.00247,20,0.9997,3.0,3.0,112,0.0,0.9991,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,0,10.0
brand:zh,72719,0.00242,804,0.9889,4.3,4.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.9992,0.0,0.0,0,11.0
