key,multi_pairs,occurrences,avg_parts
local_ref,16,17,2.56
origin:service,1,17,2.0
building:roof,13,17,2.92
opening_hours:FR,15,17,3.47
alt_name:ca,16,17,2.5
ref:FR:CRTA,17,17,2.24
architect:wikidata,17,17,2.12
support,14,16,2.0
seamark:information,9,16,2.11
certifications,4,16,2.25
colour:arrow,7,16,2.29
car:sales,1,16,2.0
reservation,6,16,2.0
note:ja,6,16,2.0
disused:name,16,16,2.38
model,13,16,2.31
route_marker,8,16,2.13
funded_by,1,16,2.0
boat:sales,1,16,2.0
motorcycle:repair,6,16,2.5
lte:cellid,16,16,5.19
opening_hours:atm,15,16,2.47
contact:helpline,16,16,2.0
club,13,16,2.38
computer:sales,3,16,2.67
backrest,4,16,2.0
ref:GB:HER:Highland,16,16,2.0
artist,16,16,2.13
payment:cash,11,16,2.27
removed:opening_hours,14,15,2.5
toilets:number,13,15,2.08
agricultural_supplies,10,15,3.4
sauna,9,15,2.33
chemist,1,15,2.0
heading:south,14,15,3.0
alt_name:de,15,15,2.27
breakfast:brunch,8,15,2.5
interaction,14,15,3.5
hackerspace:type,2,15,2.5
seamark:harbour:category,14,15,3.14
nysgissam:nysaddresspointid:1,14,15,13.71
taxi_vehicle,4,15,2.0
dinner,14,15,2.5
ref:linz:place_id,15,15,2.0
contact:vk,13,15,2.0
ref:isil,15,15,3.13
clothes:rental,2,15,2.0
opening_hours:takeaway,15,15,2.8
service:vehicle,14,15,2.71
direction_north:osmc:symbol,14,14,3.29
text3,12,14,2.0
clothes:for,3,14,2.33
dish,14,14,2.29
communication:mobile_phone,3,14,2.33
operator:clothes,4,14,2.25
collection_times:old,8,14,2.0
smoking,11,14,2.09
source:brand,3,14,2.0
kitchen_hours,14,14,2.79
wall:material,3,14,2.0
meat,14,14,2.86
type,14,14,2.64
source:cuisine,6,14,2.5
contact1:phone,14,14,2.5
parts,10,14,2.1
wikimedia_commons:1,14,14,2.29
beer,8,14,2.0
socket:type2:note,5,14,2.2
charge:child,14,14,4.29
toilets,8,14,2.0
opening_hours:analysis,13,13,2.0
author,7,13,2.0
deanery,13,13,2.0
opening_hours:preventive,13,13,3.0
cuisine:crossover,11,13,2.82
umts:cellid,13,13,7.77
zone,7,13,2.0
opening_hours:finance,6,13,2.0
drink:coffee,7,13,2.57
diocese,11,13,2.0
gsm:cellid,13,13,6.31
name:etymology,13,13,2.08
parish,13,13,2.0
heading:north,13,13,3.08
collection_time,13,13,2.31
parish:wikidata,13,13,2.0
full_service:conditional,13,13,2.38
parish:wikipedia,13,13,2.0
socket:type2_combo:voltage,7,13,2.0
lunch:menu,13,13,2.31
socket,4,13,2.0
layer,7,13,2.71
old_name:ru,13,13,2.15
alt_name:ru,13,13,2.15
destination:symbol,8,13,2.38
music,8,13,2.13
destination:4,12,13,2.33
socket:chademo,4,12,2.0
sample_collection,10,12,3.4
alcohol,8,12,2.88
embassy,1,12,2.0
disused:phone,12,12,2.17
seats,7,12,2.14
direction_east:4,12,12,2.5
opening_hours:store,12,12,2.42
brand:repair,11,12,4.18
destination:forward,11,12,2.18
engineering,11,12,2.45
name:hu,12,12,2.08
source:note:safety:food,2,12,2.0
dispensing_hours,10,12,2.8
school:de,8,12,2.38
carpenter,9,12,2.22
authentication:none,2,12,2.0
indoor_seating,2,12,2.0
IBGE:COD_UNICO_ENDERECO,12,12,2.33
destination:ref,9,12,2.33
description:hu,12,12,3.58
service:bicycle:pump:valves,5,12,2.6
music_genre,12,12,4.0
climbing:orientation,10,12,3.0
opening_hours:dinner,12,12,2.33
ref:canmore,12,12,2.0
source:phone,5,12,2.0
was:clothes,11,11,2.73
lte:eNB,11,11,2.55
opening_hours:restaurant,11,11,2.45
operational_status,11,11,2.27
direction_south:osmc:symbol,11,11,3.18
guided_routes,8,11,2.13
heritage:description,11,11,2.18
amenity_1,10,11,2.4
