key_group,distinct_keys,n,pair_share
users_men,1,1257,0.0
users_girl,1,1257,0.0
users_female,1,1257,0.0
users_boy,1,1257,0.0
users_PLWD,1,1257,0.0
food:*,319,1252,0.0
fair_trade,1,1242,0.0
size,1,1233,0.0
self_checkout,1,1225,0.0
education_system:*,7,1223,0.0
utm_coordinates,1,1213,0.0
mobility:*,1,1209,0.0
power_supply:*,15,1206,0.0
free_flying:*,20,1202,0.0
theme,1,1200,0.0
rcn,1,1199,0.0
diplomatic:*,28,1198,0.0
clothes:*,48,1196,0.0
oslokommune:*,6,1190,0.0
addr2:*,14,1181,0.0
monument,1,1178,0.0
Source,1,1178,0.0
membership,1,1175,0.0
noref,1,1171,0.0
street,1,1171,0.0
place_of_worship:*,6,1170,0.0
airside,1,1165,0.0
parts,1,1162,0.0
happy_hours,1,1161,0.0
police,1,1161,0.0
authorization,1,1160,0.0
waste_basket,1,1156,0.0
manometer,1,1156,0.0
survey_point:*,9,1153,0.0
association,1,1152,0.0
grate,1,1143,0.0
collection,1,1139,0.0
light:*,15,1134,0.0
dataset,1,1124,0.0
gns:*,61,1114,0.0
backup_generator,1,1113,0.0
payment,1,1107,0.0
power_source,1,1102,0.0
gender_access,1,1094,0.0
pet,1,1093,0.0
video,1,1091,0.0
boules,1,1089,0.0
animal,1,1085,0.0
politie:*,3,1082,0.0
electricity:*,5,1080,0.0
waste:*,8,1069,0.0
foot_traffic,1,1066,0.0
water_type,1,1064,0.0
running,1,1052,0.0
IBGE:*,2,1050,0.0
vacuum_cleaner,1,1033,0.0
ksrg,1,1029,0.0
old_addr:*,16,1020,0.0
hiv:*,3,1013,0.0
damage_status,1,1011,0.0
ref_name,1,1007,0.0
construction,1,1001,0.0
animal_breeding,1,999,0.0
harbour:*,38,996,0.0
shop_1,1,992,0.0
min_height,1,990,0.0
street:*,2,989,0.0
nrb_class,1,988,0.0
rcn_ref,1,984,0.0
cabins,1,981,0.0
manual,1,976,0.0
flickr,1,976,0.0
guidepost_shape,1,976,0.0
maxtents,1,975,0.0
content,1,969,0.0
ec:*,5,969,0.0
official_status,1,960,0.0
centralkey,1,960,0.0
barometer,1,952,0.0
reg_name,1,951,0.0
school_type,1,949,0.0
type_idn,1,941,0.0
faculty,1,940,0.0
who:*,3,939,0.0
atmotorway,1,938,0.0
message,1,931,0.0
hygrometer,1,929,0.0
temporary,1,928,0.0
accessibility,1,928,0.0
kerb,1,925,0.0
room_temperature_water,1,921,0.0
import_uuid,1,921,0.0
fire_rank,1,917,0.0
field,1,909,0.0
sensory_friendly:*,2,908,0.0
official_ref,1,906,0.0
reservation:*,13,905,0.0
education_profile:*,22,903,0.0
attached_to,1,901,0.0
land_property,1,900,0.0
last_check,1,897,0.0
cosmha,1,897,0.0
disability_access,1,893,0.0
animated,1,885,0.0
shade,1,883,0.0
lunch:*,38,882,0.0
ice_cream,1,881,0.0
source_type_imagery,1,880,0.0
button_operated,1,880,0.0
pets_allowed,1,880,0.0
lamp_type,1,878,0.0
wb_pb:*,1,871,0.0
camera:*,17,870,0.0
tidal,1,869,0.0
communication:*,53,866,0.0
nudism,1,864,0.0
weather_protection,1,863,0.0
intermittent,1,861,0.0
bicycle_parking:*,14,859,0.0
furniture,1,859,0.0
vaccination,1,858,0.0
image1,1,845,0.0
LAT,1,845,0.0
atm_ref,1,843,0.0
app:*,4,839,0.0
kindergarten:*,7,839,0.0
maxspeed,1,837,0.0
pets,1,832,0.0
District,1,830,0.0
mapillary:*,23,828,0.0
car:*,35,828,0.0
notes,1,826,0.0
animal_shelter,1,821,0.0
biergarten,1,821,0.0
LON,1,820,0.0
bed_count,1,820,0.0
media:*,5,818,0.0
denomination:*,14,817,0.0
LOCALIDAD,1,812,0.0
Block,1,810,0.0
pump_type,1,809,0.0
GPS_accuracy_meters,1,809,0.0
phone_1,1,808,0.0
viewpoint,1,807,0.0
ticket_validator,1,806,0.0
drink,1,806,0.0
nat_name,1,798,0.0
locomotive:*,6,797,0.0
wall:*,4,797,0.0
source_type_walking_paper,1,795,0.0
local,1,795,0.0
university,1,794,0.0
smoking:*,9,794,0.0
tiktok,1,790,0.0
ycoord,1,789,0.0
xcoord,1,789,0.0
restaurant:*,13,788,0.0
IOM:*,1,786,0.0
museum_type,1,784,0.0
evacuation_center,1,782,0.0
coffee,1,779,0.0
railway:*,66,777,0.0
harbour,1,776,0.0
fitness_station:*,79,775,0.0
source_1,1,773,0.0
after_school,1,770,0.0
operation,1,769,0.0
name_1,1,769,0.0
sleeping,1,769,0.0
SIRUTA:*,1,763,0.0
tourism_survey,1,761,0.0
use,1,760,0.0
ruin,1,757,0.0
codul_entității_muzeale,1,756,0.0
HE_ref,1,755,0.0
storage_area,1,751,0.0
OnroerendErfgoed:*,2,751,0.0
larochelle_id,1,750,0.0
school_district,1,749,0.0
sustrans_ref,1,747,0.0
geological,1,745,0.0
sector,1,741,0.0
collector,1,739,0.0
coffee:*,8,737,0.0
elevator,1,733,0.0
collection_plate:*,1,733,0.0
safety:*,10,729,0.0
maxweight,1,728,0.0
cannabis:*,8,726,0.0
ncn_milepost,1,725,0.0
education_level:*,4,714,0.0
building_status,1,712,0.0
wall,1,709,0.0
mattress,1,692,0.0
fac_pay,1,692,0.0
wpt_description,1,690,0.0
paving_stones:*,6,685,0.0
rwn_ref,1,684,0.0
medical_supply,1,682,0.0
fire_operator,1,680,0.0
demolished:*,68,678,0.0
barrier:*,10,677,0.0
pos,1,675,0.0
water_quality_issue,1,672,0.0
source_url,1,670,0.0
recycling,1,666,0.0
artist,1,666,0.0
pedagogy,1,665,0.0
sale,1,664,0.0
headframe,1,661,0.0
label_printer,1,657,0.0
bicycle:*,25,656,0.0
dinner,1,652,0.0
ski:*,15,649,0.0
Latitude,1,646,0.0
guid:*,1,645,0.0
design:*,4,645,0.0
water_tank:*,6,645,0.0
terrace,1,645,0.0
Longitude,1,644,0.0
lacounty:*,2,637,0.0
legal_type:*,1,637,0.0
infection:*,1,635,0.0
water_purification,1,628,0.0
provided_for:*,15,626,0.0
description1,1,624,0.0
genus:*,21,623,0.0
gas,1,623,0.0
addr,1,623,0.0
identifier,1,622,0.0
LINZ2OSM:*,3,621,0.0
internet,1,620,0.0
mooring,1,619,0.0
retreat:*,8,613,0.0
harassment_prevention,1,612,0.0
